L,Category,MSE,RMSE,MAE,Polls,Fairness_Activations,Forced_Polls
100,Overall,1355.3096397597378,36.81453028030832,29.116239014871276,1045,8101.0,609.0
100,Category A,1019.7642402156396,31.933747669442738,25.460556972161466,330,,
100,Category B,1108.4233989787365,33.29299324150258,26.78017544535207,336,,
100,Category C,1937.7412800848376,44.0197828264161,35.10798462710029,379,,
200,Overall,509.5020533898153,22.572152165662345,17.100534133565414,1622,3740.0,453.0
200,Category A,344.18821797850296,18.552310313772324,14.321328859547986,490,,
200,Category B,415.7645792847796,20.390306012533983,15.85741697064373,503,,
200,Category C,768.5533629061638,27.722795005305,21.12285657050453,629,,
500,Overall,249.85109986948456,15.806678963953324,12.774984923602753,1879,0.0,0.0
500,Category A,160.03199625163484,12.650375340346026,10.663271675242566,550,,
500,Category B,237.1896151695357,15.400961501462684,12.581745428939012,565,,
500,Category C,352.33168818728313,18.770500477805143,15.079937666626694,764,,
1000,Overall,249.85109986948456,15.806678963953324,12.774984923602753,1879,0.0,0.0
1000,Category A,160.03199625163484,12.650375340346026,10.663271675242566,550,,
1000,Category B,237.1896151695357,15.400961501462684,12.581745428939012,565,,
1000,Category C,352.33168818728313,18.770500477805143,15.079937666626694,764,,
2000,Overall,249.85109986948456,15.806678963953324,12.774984923602753,1879,0.0,0.0
2000,Category A,160.03199625163484,12.650375340346026,10.663271675242566,550,,
2000,Category B,237.1896151695357,15.400961501462684,12.581745428939012,565,,
2000,Category C,352.33168818728313,18.770500477805143,15.079937666626694,764,,
