M,Category,Polls,MSE,RMSE,MAE,Poll_Percentage
1,Overall,9676,172.86961481132167,13.14798900255555,8.102862279279105,100.0
1,Category A,3227,0.15285362720425588,0.39096499485792313,0.30215999946902583,33.35055808185201
1,Category B,3226,148.2709772255386,12.176657062820592,9.587274487722812,33.340223232740804
1,Category C,3223,387.43678598135944,19.683413981861975,15.226568927580804,33.309218685407195
2,Overall,19352,120.74652827653343,10.988472517894989,6.765430013885628,100.0
2,Category A,6450,0.1077051916463498,0.32818469136501444,0.253296033771278,33.329888383629594
2,Category B,6452,101.18772328731603,10.05921086802121,7.960714495447018,33.340223232740804
2,Category C,6450,273.01489459634445,16.5231623667004,12.758153584960507,33.329888383629594
5,Overall,48388,72.03487102609283,8.487335920422428,5.197816578289296,100.0
5,Category A,16108,0.0652062025384676,0.25535505191491237,0.19598209788164161,33.28924526742168
5,Category B,16149,60.63477406696682,7.786833378657002,6.108470662207883,33.37397701909564
5,Category C,16131,162.60788227599284,12.751779572906397,9.80866497951599,33.33677771348268
10,Overall,96765,51.87694588281106,7.202565229333994,4.421756902334577,100.0
10,Category A,32260,0.046381691311762036,0.2153640901166256,0.16603071369318076,33.338500490879966
10,Category B,32256,43.45286988938058,6.591879086374429,5.20864992066739,33.33436676484266
10,Category C,32249,117.31925262120721,10.831401230736825,8.332729711346362,33.32713274427737
