,polling_fraction
mote1,0.02324208662288792
mote2,0.019468541493185484
mote3,0.01510472114766367
mote4,0.02697346923717469
mote5,0.01927881017381497
mote6,0.022535864489675456
mote7,0.012754160913240085
mote8,0.022957489643832152
mote9,0.021460720346575878
mote10,0.02120774525408186
mote11,0.025592646857311507
mote12,0.01796123156707529
mote13,0.013860926942901414
mote14,0.027331850618207882
mote15,0.008801425093021049
mote16,0.006229511652665198
mote17,0.0069041118993159135
mote18,0.015969052713684897
mote19,0.006450864858597464
mote20,0.02071233569794774
mote21,0.020427738718891968
mote22,0.014061198891125844
mote23,0.026984009866028606
mote24,0.009760622318727536
mote25,0.024622909002751103
mote26,0.01713906251646973
mote27,0.007757902836483224
mote28,0.024949668497222546
mote29,0.019742597843387336
mote30,0.021787479841047317
mote31,0.0057657239830928315
mote32,0.0270999567834217
mote33,0.023073436561225243
mote34,0.024960209126076462
mote35,0.027816719545488085
mote36,0.013059839150003688
mote37,0.013091461036565442
mote38,0.017876906536243953
mote39,0.029324029471598276
mote40,0.027890503947465506
mote41,0.02622508458854655
mote42,0.028396454132453543
mote43,0.027732394514656745
mote44,0.02819618218422911
mote45,0.024612368373897187
mote46,0.03032538921272043
mote47,0.020564766893992895
mote48,0.02460182774504327
mote49,0.019985032307027438
mote50,0.017370956351255917
